0.9000
0.0000,0.0000,0.0000,0.0000, 0.00, 
0.0004,0.0009,0.0005,0.0009,-1.50, 
0.0022,0.0027,0.0023,0.0027,-1.50, 
0.0063,0.0054,0.0063,0.0054,-1.50, 
0.0135,0.0090,0.0135,0.0090,-1.50, 
0.0247,0.0135,0.0248,0.0135,-1.50, 
0.0409,0.0189,0.0410,0.0189,-1.50, 
0.0630,0.0252,0.0630,0.0252,-1.50, 
0.0918,0.0324,0.0918,0.0324,-1.50, 
0.1282,0.0405,0.1283,0.0405,-1.50, 
0.1732,0.0495,0.1733,0.0495,-1.50, 
0.2272,0.0585,0.2273,0.0585,-1.50, 
0.2902,0.0675,0.2903,0.0675,-1.50, 
0.3622,0.0765,0.3623,0.0765,-1.50, 
0.4432,0.0855,0.4433,0.0855,-1.50, 
0.5331,0.0945,0.5334,0.0945,-1.50, 
0.6321,0.1035,0.6324,0.1035,-1.50, 
0.7400,0.1124,0.7405,0.1126,-1.50, 
0.8570,0.1214,0.8575,0.1216,-1.50, 
0.9829,0.1304,0.9836,0.1306,-1.50, 
1.1178,0.1394,1.1187,0.1396,-1.49, 
1.2617,0.1484,1.2628,0.1486,-1.49, 
1.4145,0.1573,1.4160,0.1577,-1.49, 
1.5763,0.1663,1.5782,0.1667,-1.49, 
1.7471,0.1753,1.7494,0.1757,-1.49, 
1.9269,0.1842,1.9296,0.1848,-1.49, 
2.1156,0.1932,2.1189,0.1938,-1.49, 
2.3133,0.2022,2.3172,0.2028,-1.49, 
2.5199,0.2111,2.5246,0.2119,-1.49, 
2.7355,0.2201,2.7410,0.2209,-1.48, 
2.9600,0.2290,2.9665,0.2300,-1.48, 
3.1930,0.2370,3.2006,0.2382,-1.48, 
3.4337,0.2442,3.4423,0.2454,-1.48, 
3.6810,0.2504,3.6909,0.2518,-1.47, 
3.9340,0.2558,3.9455,0.2572,-1.47, 
4.1920,0.2602,4.2050,0.2618,-1.47, 
4.4540,0.2637,4.4686,0.2655,-1.46, 
4.7190,0.2664,4.7355,0.2682,-1.46, 
4.9862,0.2681,5.0047,0.2701,-1.45, 
5.2548,0.2689,5.2752,0.2711,-1.45, 
5.5237,0.2689,5.5463,0.2711,-1.44, 
5.7925,0.2688,5.8175,0.2712,-1.44, 
6.0614,0.2688,6.0886,0.2712,-1.43, 
6.3301,0.2687,6.3599,0.2713,-1.43, 
6.5988,0.2687,6.6312,0.2713,-1.42, 
6.8674,0.2686,6.9026,0.2714,-1.41, 
7.1360,0.2685,7.1740,0.2715,-1.41, 
7.4045,0.2685,7.4455,0.2715,-1.40, 
7.6730,0.2684,7.7170,0.2716,-1.39, 
7.9414,0.2684,7.9886,0.2716,-1.39, 
8.2097,0.2683,8.2603,0.2717,-1.38, 
8.4780,0.2683,8.5320,0.2717,-1.37, 
8.7463,0.2682,8.8037,0.2718,-1.36, 
9.0144,0.2681,9.0756,0.2719,-1.35, 
9.2825,0.2681,9.3475,0.2719,-1.35, 
9.5506,0.2680,9.6194,0.2720,-1.34, 
9.8186,0.2680,9.8914,0.2720,-1.33, 
10.0865,0.2679,10.1635,0.2721,-1.32, 
10.3544,0.2678,10.4356,0.2722,-1.31, 
10.6222,0.2678,10.7078,0.2722,-1.30, 
10.8899,0.2677,10.9801,0.2723,-1.29, 
11.1576,0.2677,11.2524,0.2723,-1.28, 
11.4252,0.2676,11.5248,0.2724,-1.26, 
11.6928,0.2675,11.7972,0.2725,-1.25, 
11.9603,0.2675,12.0697,0.2725,-1.24, 
12.2277,0.2674,12.3423,0.2726,-1.23, 
12.4951,0.2673,12.6149,0.2727,-1.22, 
12.7624,0.2673,12.8876,0.2727,-1.20, 
13.0296,0.2672,13.1604,0.2728,-1.19, 
13.2967,0.2671,13.4333,0.2729,-1.18, 
13.5638,0.2671,13.7062,0.2729,-1.16, 
13.8309,0.2670,13.9791,0.2730,-1.15, 
14.0978,0.2669,14.2522,0.2731,-1.14, 
14.3647,0.2668,14.5253,0.2732,-1.12, 
14.6315,0.2668,14.7985,0.2732,-1.11, 
